Frame Rate:,29.9700299700
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
21,00:00:00.701,0.005488642939814815,0.005425347222222222,0.003200954861111111,0.007839626736111112
22,00:00:00.734,0.001564308449074074,0.0014105902777777778,0.001193576388888889,0.0020887586805555555
23,00:00:00.767,0.0,0.0,0.0,0.0
24,00:00:00.801,0.001564308449074074,0.0014105902777777778,0.001193576388888889,0.0020887586805555555
25,00:00:00.834,0.0020978009259259257,0.001980251736111111,0.0017903645833333333,0.0025227864583333335
26,00:00:00.868,0.00018084490740740742,8.138020833333333e-05,0.00021701388888888888,0.000244140625
27,00:00:00.901,0.0009313512731481481,0.0008680555555555555,0.0010579427083333333,0.0008680555555555555
28,00:00:00.934,0.0009765625,0.0008680555555555555,0.001247829861111111,0.0008138020833333334
29,00:00:00.968,0.0,0.0,0.0,0.0
30,00:00:01.001,0.001021773726851852,0.0011121961805555555,0.0009223090277777778,0.0010308159722222222
31,00:00:01.034,0.002161096643518519,0.002658420138888889,0.001193576388888889,0.002631293402777778
32,00:00:01.068,0.0,0.0,0.0,0.0
33,00:00:01.101,0.002161096643518519,0.002658420138888889,0.001193576388888889,0.002631293402777778
34,00:00:01.134,0.023121021412037035,0.03550889756944445,0.011691623263888888,0.022162543402777776
35,00:00:01.168,0.0,0.0,0.0,0.0
36,00:00:01.201,0.009503399884259259,0.011121961805555556,0.005208333333333333,0.012179904513888888
37,00:00:01.235,0.0020616319444444445,0.0017632378472222222,0.001247829861111111,0.003173828125
38,00:00:01.268,0.0,0.0,0.0,0.0
39,00:00:01.301,0.00039785879629629633,0.000244140625,0.00043402777777777775,0.0005154079861111111
40,00:00:01.335,0.004792390046296296,0.007731119791666667,0.0025227864583333335,0.004123263888888889
41,00:00:01.368,0.0,0.0,0.0,0.0
42,00:00:01.401,0.0029025607638888894,0.003390842013888889,0.00048828125,0.004828559027777778
43,00:00:01.435,9.04224537037037e-06,0.0,2.712673611111111e-05,0.0
44,00:00:01.468,0.0,0.0,0.0,0.0
45,00:00:01.502,9.04224537037037e-06,0.0,2.712673611111111e-05,0.0
46,00:00:01.535,3.5827817563657405,4.275282118055555,1.2601996527777777,5.212863498263889
47,00:00:01.568,0.002721715856481481,0.0018717447916666667,0.0013020833333333333,0.004991319444444444
48,00:00:01.602,2.712673611111111e-05,0.0,8.138020833333333e-05,0.0
49,00:00:01.635,0.0027488425925925927,0.0018717447916666667,0.0012749565972222222,0.005099826388888889
50,00:00:01.668,0.0006691261574074075,0.0005696614583333334,0.0005967881944444445,0.0008409288194444445
51,00:00:01.702,0.0,0.0,0.0,0.0
52,00:00:01.735,0.00023509837962962962,0.00010850694444444444,0.00035264756944444444,0.000244140625
53,00:00:01.768,0.0,0.0,0.0,0.0
